303 
162 148 70 
148 162 8 
138 8 162 
70 138 162 
161 78 83 
78 161 113 
161 16 113 
16 161 145 
83 145 161 
160 104 3 
104 160 118 
118 160 67 
160 25 116 
25 160 3 
160 15 67 
15 160 41 
41 160 116 
159 147 40 
147 159 44 
159 109 44 
109 159 72 
72 159 35 
40 35 159 
158 95 82 
95 158 141 
158 69 141 
69 158 65 
158 44 100 
44 158 147 
147 158 82 
100 65 158 
157 119 49 
119 157 106 
157 49 130 
157 140 106 
140 157 99 
99 157 43 
43 157 153 
130 153 157 
156 128 11 
128 156 20 
11 124 156 
124 20 156 
155 67 87 
67 155 139 
68 139 155 
87 68 155 
154 137 94 
137 154 37 
37 154 36 
94 125 154 
125 36 154 
153 30 19 
30 153 88 
43 153 19 
130 88 153 
152 60 53 
60 152 78 
152 83 78 
83 152 136 
152 56 18 
56 152 53 
152 18 107 
152 32 136 
32 152 107 
151 150 117 
150 151 149 
151 98 76 
98 151 117 
151 131 149 
131 151 76 
150 135 57 
135 150 149 
150 42 34 
42 150 57 
150 121 117 
121 150 34 
149 105 64 
105 149 131 
149 64 135 
70 148 123 
148 8 24 
148 24 101 
147 43 30 
43 147 82 
30 40 147 
146 7 58 
7 146 86 
146 16 86 
16 146 113 
58 113 146 
136 16 145 
83 136 145 
144 50 110 
50 144 99 
144 31 140 
31 144 110 
140 99 144 
143 28 17 
28 143 26 
12 26 143 
17 12 143 
142 47 62 
47 142 37 
142 115 137 
115 142 62 
137 37 142 
141 69 92 
141 55 50 
55 141 92 
50 95 141 
106 140 85 
31 85 140 
67 139 118 
118 139 127 
127 139 33 
33 139 10 
102 10 139 
138 70 18 
5 8 138 
18 5 138 
137 98 94 
98 137 115 
136 32 103 
103 123 136 
123 16 136 
93 57 135 
64 93 135 
134 4 38 
4 134 14 
134 26 77 
26 134 84 
84 134 38 
134 120 14 
120 134 59 
59 134 77 
133 58 122 
58 133 113 
133 91 60 
91 133 122 
133 60 78 
78 113 133 
132 73 75 
73 132 46 
132 52 90 
52 132 75 
90 46 132 
131 130 105 
130 131 88 
131 76 88 
130 102 105 
102 130 49 
114 94 129 
98 114 129 
94 98 129 
128 97 11 
97 128 73 
128 75 73 
75 128 21 
21 128 25 
25 128 20 
104 118 127 
33 104 127 
126 97 46 
97 126 6 
126 29 4 
29 126 89 
126 4 6 
46 89 126 
125 114 34 
114 125 94 
36 125 101 
124 68 15 
68 124 120 
124 116 20 
116 124 41 
41 124 15 
11 120 124 
123 32 70 
32 123 103 
122 100 91 
100 122 58 
114 117 121 
34 114 121 
120 59 12 
120 22 14 
22 120 11 
49 119 48 
119 33 10 
33 119 85 
85 119 106 
10 48 119 
98 117 114 
25 20 116 
115 76 98 
76 115 40 
40 115 35 
62 35 115 
112 25 3 
25 112 21 
112 31 27 
31 112 45 
45 112 3 
112 51 21 
51 112 27 
111 61 7 
61 111 66 
111 28 66 
28 111 17 
7 17 111 
110 51 27 
51 110 50 
31 110 27 
109 47 80 
47 109 72 
109 74 91 
74 109 80 
109 91 44 
108 66 54 
66 108 61 
108 58 61 
58 108 100 
100 108 69 
69 108 81 
54 81 108 
107 70 32 
70 107 18 
105 102 9 
9 64 105 
3 104 45 
33 45 104 
102 49 48 
102 48 10 
9 102 93 
101 47 37 
47 101 24 
101 37 36 
91 100 44 
100 69 65 
99 95 50 
95 99 43 
97 73 46 
97 6 22 
22 11 97 
96 54 66 
54 96 63 
96 66 28 
96 26 84 
26 96 28 
96 38 63 
38 96 84 
95 43 82 
93 64 9 
42 57 93 
92 81 55 
81 92 69 
91 53 60 
53 91 74 
90 51 23 
51 90 52 
90 23 39 
46 90 89 
39 89 90 
89 55 29 
55 89 39 
30 88 76 
15 68 87 
67 15 87 
16 17 86 
17 7 86 
33 85 31 
81 29 55 
29 81 54 
80 47 79 
79 74 80 
79 56 74 
56 79 71 
47 71 79 
26 59 77 
40 30 76 
21 52 75 
74 56 53 
72 35 62 
62 47 72 
56 71 13 
71 24 5 
24 71 47 
5 13 71 
29 54 63 
38 29 63 
58 7 61 
26 12 59 
13 18 56 
55 23 50 
23 55 39 
21 51 52 
51 50 23 
33 31 45 
30 43 19 
4 29 38 
5 24 8 
6 14 22 
5 18 13 
